bin	bins_n	phylum
'LIB-MJ388-G6_02.14'	1	Campylobacterota
'LIB-MJ196-H1_02_v_LIB-MJ402-F9_04.23'	1	Actinomycetota
'LIB-MJ197-D7_03_v_LIB-MJ366-D7_03.17'	1	Actinomycetota
'LIB-MJ228-G8_01.8'	1	Actinomycetota
'LIB-MJ306-A11_01.13'	1	Actinomycetota
'LIB-MJ337-D8_03.15'	1	Actinomycetota
'LIB-MJ252-H6_02.6'	2	Actinomycetota
'LIB-MJ194-G5_04.7'	1	Actinomycetota
'LIB-MJ341-E11_02_v_LIB-MJ367-E11_04.2'	1	Actinomycetota
'LIB-MJ048-B3_04.7'	1	Actinomycetota
'LIB-MJ347-B10_04_v_LIB-MJ368-B10_03.14'	1	Actinomycetota
'LIB-MJ387-H6_01.5'	2	Campylobacterota
'LIB-MJ339-C7_03.95'	1	Actinomycetota
'LIB-MJ383-H8_01.66'	2	Actinomycetota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.203'	1	Actinomycetota
'LIB-MJ253-B4_01_v_LIB-MJ404-E6_03.35'	1	Actinomycetota
'LIB-MJ339-E4_03.17'	1	Actinomycetota
'LIB-MJ050-C6_02.5'	1	Actinomycetota
'LIB-MJ255-A1_02_v_LIB-MJ405-F8_01.6'	1	Actinomycetota
'LIB-MJ263-B12_04_v_LIB-MJ407-A7_04.22'	1	Actinomycetota
'LIB-MJ253-D2_01_v_LIB-MJ404-D6_03.7'	2	Actinomycetota
'LIB-MJ250-C5_04_v_LIB-MJ365-C5_03.51'	1	Actinomycetota
'LIB-MJ190-D2_02.5'	1	Actinomycetota
'LIB-MJ386-B7_04.13'	1	Campylobacterota
'LIB-MJ260-C7_01.26'	1	Actinomycetota
'LIB-MJ196-E8_02.2'	1	Actinomycetota
'LIB-MJ255-B9_02.23'	1	Actinomycetota
'LIB-MJ337-E5_03.8'	1	Actinomycetota
'LIB-MJ262-G4_03.10'	1	Actinomycetota
'LIB-MJ088-B5_04.20'	1	Actinomycetota
'LIB-MJ191-C4_04.6'	1	Actinomycetota
'LIB-MJ191-D8_04.12'	1	Actinomycetota
'LIB-MJ336-B6_02.14'	1	Actinomycetota
'LIB-MJ227-F11_02.13'	1	Actinomycetota
